Dataset Name,Path Type,Acceleration Type,Path Direction,Path Number,Sample Rate,Prediction Horizon,Prediction Model,Angular Avg. Window,Linear Avg. Window,Average ADE,Average ADE (Normalized),Average FDE,Average FDE (Normalized)
ET_C_A_DIR_153,ET_C,A,DIR,153,2.5,12,CTRV,6.0,6,4.84329183384911,4.318407584355149,11.70211600352211,0.8348417846248175
ET_C_A_DIR_125,ET_C,A,DIR,125,2.5,12,CTRV,6.0,6,3.002097555867314,2.7915216439262784,8.00337917095064,0.6278752429277374
ET_C_A_DIR_46,ET_C,A,DIR,46,2.5,12,CTRV,6.0,6,,,,
ET_C_A_DIR_251,ET_C,A,DIR,251,2.5,12,CTRV,6.0,6,,,,
ET_C_A_DIR_128,ET_C,A,DIR,128,2.5,12,CTRV,6.0,6,,,,
ET_C_A_DIR_96,ET_C,A,DIR,96,2.5,12,CTRV,6.0,6,,,,
ET_C_A_DIR_146,ET_C,A,DIR,146,2.5,12,CTRV,6.0,6,,,,
ET_C_A_DIR_145,ET_C,A,DIR,145,2.5,12,CTRV,6.0,6,,,,
ET_C_A_DIR_281,ET_C,A,DIR,281,2.5,12,CTRV,6.0,6,,,,
ET_C_A_DIR_12,ET_C,A,DIR,12,2.5,12,CTRV,6.0,6,1.4922381698072549,1.9832213587427,3.551310975202796,0.4006708380070296
ET_C_A_DIR_230,ET_C,A,DIR,230,2.5,12,CTRV,6.0,6,2.6496495705897845,21.87884694983787,6.195646003549736,1.6709075386299252
ET_C_A_DIR_8,ET_C,A,DIR,8,2.5,12,CTRV,6.0,6,2.2083374009846284,2.525901536198419,5.887624018426509,0.5211590792758292
ET_C_A_DIR_13,ET_C,A,DIR,13,2.5,12,CTRV,6.0,6,2.9438336471915414,4.04681632370039,6.327187045300065,0.7173421776100246
ET_C_A_DIR_118,ET_C,A,DIR,118,2.5,12,CTRV,6.0,6,0.3607139891621894,0.3416470997200392,0.7934009645592416,0.0627489273392405
ET_C_A_DIR_274,ET_C,A,DIR,274,2.5,12,CTRV,6.0,6,,,,
ET_C_A_DIR_238,ET_C,A,DIR,238,2.5,12,CTRV,6.0,6,1.4376817733208602,15.92575697832122,3.0008781139343665,1.244334861023825
ET_C_A_DIR_285,ET_C,A,DIR,285,2.5,12,CTRV,6.0,6,,,,
ET_C_A_DIR_331,ET_C,A,DIR,331,2.5,12,CTRV,6.0,6,1.3421607740606014,1.2915194558634762,3.0415482711473785,0.2387114311924793
ET_C_A_DIR_320,ET_C,A,DIR,320,2.5,12,CTRV,6.0,6,1.3627052430680722,1.9278833048725708,3.031062197443519,0.3585351538918061
ET_C_A_DIR_347,ET_C,A,DIR,347,2.5,12,CTRV,6.0,6,3.161839163857147,2.9972405175087555,8.777374277957122,0.6844148580102866
ET_C_A_DIR_354,ET_C,A,DIR,354,2.5,12,CTRV,6.0,6,2.0660244332843654,1.971967522803244,5.430222279213339,0.4270844115856268
ET_C_A_DIR_82,ET_C,A,DIR,82,2.5,12,CTRV,6.0,6,1.238119786588137,1.1335592119890263,2.440070828259387,0.1880861094726272
ET_C_A_DIR_14,ET_C,A,DIR,14,2.5,12,CTRV,6.0,6,2.8824682792305127,3.551663148160614,7.676224795434747,0.8135979833629806
ET_C_A_DIR_213,ET_C,A,DIR,213,2.5,12,CTRV,6.0,6,3.4920837436817767,3.0578612451603706,8.114338676093467,0.5923116333154409
ET_C_A_DIR_110,ET_C,A,DIR,110,2.5,12,CTRV,6.0,6,1.7294615716671458,1.879498702423729,3.910306435498797,0.3598360533002195
ET_C_A_DIR_241,ET_C,A,DIR,241,2.5,12,CTRV,6.0,6,,,,
ET_C_A_DIR_47,ET_C,A,DIR,47,2.5,12,CTRV,6.0,6,,,,
