Dataset Name,Path Type,Acceleration Type,Path Direction,Path Number,Sample Rate,Prediction Horizon,Prediction Model,Angular Avg. Window,Linear Avg. Window,Average ADE,Average ADE (Normalized),Average FDE,Average FDE (Normalized)
U1_C_A_DIR_97,U1_C,A,DIR,97,path,12,CTRV,8,8,0.6248979075160995,1.816925528329495,1.4786709775871822,0.31597007662804
Z1_C_A_DIR_12,Z1_C,A,DIR,12,path,12,CTRV,8,8,0.4067821630060045,0.9118316272830916,0.8975704795202631,0.1599333151321435
U3_C_A_DIR_140,U3_C,A,DIR,140,path,12,CTRV,8,8,0.7085224457979804,2.3267142224272117,1.622208938693274,0.4173009160479182
Z2_C_A_DIR_157,Z2_C,A,DIR,157,path,12,CTRV,8,8,0.7658520747454602,1.8649286698055,1.720840108150386,0.3469507993069904
U3_C_A_DIR_122,U3_C,A,DIR,122,path,12,CTRV,8,8,1.2558547807776173,3.603595266087108,2.687875825776405,0.618629982858328
ET_C_A_DIR_297,ET_C,A,DIR,297,path,12,CTRV,8,8,,,,
Z2_C_A_DIR_161,Z2_C,A,DIR,161,path,12,CTRV,8,8,2.058762413044368,3.613329660012573,4.753444461928138,0.6811623202098033
U1_C_A_DIR_172,U1_C,A,DIR,172,path,12,CTRV,8,8,2.303165331790835,5.611018198965786,5.663526338758516,1.0594374521919607
U1_C_A_DIR_259,U1_C,A,DIR,259,path,12,CTRV,8,8,0.7574751577366902,2.2313425077826725,1.7040853961352462,0.4133393317113866
Z2_C_A_DIR_112,Z2_C,A,DIR,112,path,12,CTRV,8,8,0.1480295179654522,26.445891042511604,0.3292120921671876,0.8723218242033353
HT_C_A_DIR_330,HT_C,A,DIR,330,path,12,CTRV,8,8,,,,
U1_C_A_DIR_103,U1_C,A,DIR,103,path,12,CTRV,8,8,0.7216511092980328,11.272835819520504,1.5905490508083202,1.3612705761592
U1_C_A_DIR_250,U1_C,A,DIR,250,path,12,CTRV,8,8,0.388829487404992,1.7725398540933086,0.8309513201822317,0.3128287172282792
HT_C_A_DIR_145,HT_C,A,DIR,145,path,12,CTRV,8,8,1.6705015505148009,2.749906868796777,3.6079419245528,0.51420464181688
U3_C_A_DIR_398,U3_C,A,DIR,398,path,12,CTRV,8,8,,,,
HT_C_A_DIR_388,HT_C,A,DIR,388,path,12,CTRV,8,8,0.8962562309439654,1.5431692311792566,2.0526502396179547,0.2897425504124587
Z2_C_A_DIR_200,Z2_C,A,DIR,200,path,12,CTRV,8,8,0.7337312905635881,1.5378133835122063,1.6899203465447217,0.2881647633445572
HT_C_A_DIR_197,HT_C,A,DIR,197,path,12,CTRV,8,8,,,,
HT_C_A_DIR_306,HT_C,A,DIR,306,path,12,CTRV,8,8,0.958109810884608,1.5213857099031758,2.128021845962434,0.2864355460678319
U1_C_A_DIR_99,U1_C,A,DIR,99,path,12,CTRV,8,8,0.8997178835448625,1.5767418618319329,2.1452309096428084,0.3007603035120533
ET_C_A_DIR_301,ET_C,A,DIR,301,path,12,CTRV,8,8,,,,
U1_C_A_DIR_152,U1_C,A,DIR,152,path,12,CTRV,8,8,,,,
HT_C_A_DIR_180,HT_C,A,DIR,180,path,12,CTRV,8,8,0.026992911282207,1.9060254022672256,0.0441882867416426,2.5372451688002795
Z1_C_A_DIR_140,Z1_C,A,DIR,140,path,12,CTRV,8,8,0.8990382694859853,2.0258519130271444,2.1784700120575256,0.3716649681757568
HT_C_A_DIR_44,HT_C,A,DIR,44,path,12,CTRV,8,8,,,,
ET_C_A_DIR_181,ET_C,A,DIR,181,path,12,CTRV,8,8,1.8325129857899285,2.038935910992897,4.551699151725211,0.3851350361428228
Z1_C_A_DIR_9,Z1_C,A,DIR,9,path,12,CTRV,8,8,0.7582742505385124,28.75054378963104,1.669395417024434,2.5967896440810354
U3_C_A_DIR_262,U3_C,A,DIR,262,path,12,CTRV,8,8,1.375093309228628,2.049970956631534,2.9211957263646657,0.3725621488320911
Z2_C_A_DIR_65,Z2_C,A,DIR,65,path,12,CTRV,8,8,0.4607895774053126,0.7171332701944769,1.006070848984168,0.1289003126779364
ET_C_A_DIR_87,ET_C,A,DIR,87,path,12,CTRV,8,8,2.5098259550965545,2.4640612164129867,6.235505780473551,0.4895688241960108
ET_C_A_DIR_293,ET_C,A,DIR,293,path,12,CTRV,8,8,,,,
U1_C_A_DIR_190,U1_C,A,DIR,190,path,12,CTRV,8,8,0.3388343459629792,6.438923815175023,0.6977566468532803,0.909091745786314
Z2_C_A_DIR_191,Z2_C,A,DIR,191,path,12,CTRV,8,8,0.4924117092285285,0.963954368339857,1.1477496127614608,0.1877424648154783
U1_C_A_DIR_179,U1_C,A,DIR,179,path,12,CTRV,8,8,0.8612572502399387,3.05840891679572,2.032609399476983,0.5246086783238385
HT_C_A_DIR_107,HT_C,A,DIR,107,path,12,CTRV,8,8,0.4650452877164432,2.2247454242385905,0.9919268678417582,0.3732304902017793
Z2_C_A_DIR_61,Z2_C,A,DIR,61,path,12,CTRV,8,8,0.4115072610114548,0.7902860034475884,0.9146667615280024,0.1480400015975516
HT_C_A_DIR_280,HT_C,A,DIR,280,path,12,CTRV,8,8,,,,
ET_C_A_DIR_11,ET_C,A,DIR,11,path,12,CTRV,8,8,2.5687881393734227,3.4964534337520807,5.498368601416433,0.631101545461259
U1_C_A_DIR_385,U1_C,A,DIR,385,path,12,CTRV,8,8,0.5325910848032221,1.7817809038567485,1.0560013891373734,0.2974112544419321
ET_C_A_DIR_33,ET_C,A,DIR,33,path,12,CTRV,8,8,2.147332732438552,2.335193346216913,6.033376555079968,0.5622251820167896
ET_C_A_DIR_16,ET_C,A,DIR,16,path,12,CTRV,8,8,4.069021633576927,4.945098521516161,10.630319404694545,1.0990141547992138
U1_C_A_DIR_147,U1_C,A,DIR,147,path,12,CTRV,8,8,1.0431268720673348,5.115284269883879,2.189566339543437,0.8206928688867803
U3_C_A_DIR_341,U3_C,A,DIR,341,path,12,CTRV,8,8,1.122852525080402,5.028344147609745,2.4554193101236184,0.7825274002154843
Z2_C_A_DIR_193,Z2_C,A,DIR,193,path,12,CTRV,8,8,1.0398882730952137,1.7590368915879422,2.3904992473568933,0.3325539022518095
ET_C_A_DIR_359,ET_C,A,DIR,359,path,12,CTRV,8,8,1.380939779596262,1.3668161874850868,3.120598903447097,0.2528073347912266
HT_C_A_DIR_99,HT_C,A,DIR,99,path,12,CTRV,8,8,,,,
U1_C_A_DIR_174,U1_C,A,DIR,174,path,12,CTRV,8,8,2.2093349764347234,9.064532922058827,4.7273091230365765,1.4258952466090755
U1_C_A_DIR_98,U1_C,A,DIR,98,path,12,CTRV,8,8,0.7862333844241227,1.885319442217099,1.421945781693192,0.2775159732495712
ET_C_A_DIR_341,ET_C,A,DIR,341,path,12,CTRV,8,8,0.7055319792577969,0.6349277104933421,1.2865179363187025,0.0979785208196251
HT_C_A_DIR_39,HT_C,A,DIR,39,path,12,CTRV,8,8,,,,
HT_C_A_DIR_375,HT_C,A,DIR,375,path,12,CTRV,8,8,0.8031814711741926,1.447477387327022,1.770981963044569,0.268709655876367
