Dataset Name,Path Type,Acceleration Type,Path Direction,Path Number,Sample Rate,Prediction Horizon,Prediction Model,Angular Avg. Window,Linear Avg. Window,Average ADE,Average ADE (Normalized),Average FDE,Average FDE (Normalized)
VL_C_F_TD_3,VL_C,F,TD,3,full,12,CV,,6,22.346580572719482,10.720419389868772,35.81571474722128,0.6243987735519436
VL_C_F_TD_3,VL_C,F,TD,3,2.5hz,12,CV,,6,,,,
VL_C_F_TD_3,VL_C,F,TD,3,10hz,12,CV,,6,26.207017298222656,5.4288169449405235,47.241295506004874,0.3576064388087542
VL_C_F_BU_5,VL_C,F,BU,5,full,12,CV,,6,31.705142403839638,9.150165514886291,44.14150083688889,0.6314192151615187
VL_C_F_BU_5,VL_C,F,BU,5,2.5hz,12,CV,,6,,,,
VL_C_F_BU_5,VL_C,F,BU,5,10hz,12,CV,,6,27.377844494534216,3.7814831075349113,31.055053147843573,0.17677041637569688
VL_C_F_BU_6,VL_C,F,BU,6,full,12,CV,,6,19.362844032821222,5.932609739251382,31.680683393181916,0.44114667196499224
VL_C_F_BU_6,VL_C,F,BU,6,2.5hz,12,CV,,6,,,,
VL_C_F_BU_6,VL_C,F,BU,6,10hz,12,CV,,6,59.74204878878873,14.401917309310498,91.39396760758446,0.5642399368949175
VL_C_F_TD_5,VL_C,F,TD,5,full,12,CV,,6,33.10655364522412,58.44012180327237,42.61088561131094,0.6398719249877491
VL_C_F_TD_5,VL_C,F,TD,5,2.5hz,12,CV,,6,,,,
VL_C_F_TD_5,VL_C,F,TD,5,10hz,12,CV,,6,41.24500801279293,14.250954416414874,69.1705108155209,0.46254138934278966
VL_C_A_TD_1,VL_C,A,TD,1,full,12,CV,,6,22.272670099281957,8.984258755112705,31.057773975426826,0.3607933325046908
VL_C_A_TD_1,VL_C,A,TD,1,2.5hz,12,CV,,6,,,,
VL_C_A_TD_1,VL_C,A,TD,1,10hz,12,CV,,6,67.8812207008945,13.76975844275213,111.76461040977227,0.6457939161885017
VL_C_A_BU_3,VL_C,A,BU,3,full,12,CV,,6,22.33241141751669,6.106818755313908,37.342513471943306,0.34443378224912197
VL_C_A_BU_3,VL_C,A,BU,3,2.5hz,12,CV,,6,,,,
VL_C_A_BU_3,VL_C,A,BU,3,10hz,12,CV,,6,,,,
VL_C_A_BU_1,VL_C,A,BU,1,full,12,CV,,6,28.12630921747592,5.881541956788127,45.88081252794885,0.5453356081349086
VL_C_A_BU_1,VL_C,A,BU,1,2.5hz,12,CV,,6,,,,
VL_C_A_BU_1,VL_C,A,BU,1,10hz,12,CV,,6,49.45024521747045,6.824626866107694,73.75180869505446,0.3971950382832107
